starting run...

=== quality target = 0.99 ===
[ 55/ 61] FILE_textureA.bmp              | k=   1 | achieved=98.78% | CR=127.9375 | PSNR= 24.50 | time=0.5122s
[ 56/ 61] FILE_textureB.bmp              | k=   2 | achieved=95.17% | CR=63.9688 | PSNR= 15.82 | time=0.3570s
[ 57/ 61] FILE_tiffany.bmp               | k=   1 | achieved=98.80% | CR=63.9376 | PSNR= 20.76 | time=0.0767s
[ 58/ 61] FILE_truck.bmp                 | k=   1 | achieved=95.88% | CR=63.9376 | PSNR= 21.12 | time=0.0794s
[ 59/ 61] FILE_trucks.bmp                | k=   1 | achieved=92.41% | CR=63.9376 | PSNR= 18.35 | time=0.0788s
[ 60/ 61] FILE_yacht.bmp                 | k=   2 | achieved=90.88% | CR=30.9366 | PSNR= 16.93 | time=0.0639s
[ 61/ 61] FILE_Venus.jpg                 | k=  11 | achieved=90.18% | CR=46.1761 | PSNR= 17.78 | time=20.2793s

=== quality target = 0.80 ===
[  1/ 61] SYN_1x1 black                  | k=     | achieved=% | CR=Inf | PSNR=   Inf | time=0.0013s
[  2/ 61] SYN_1x1 white                  | k=   1 | achieved=100.00% | CR=0.0833 | PSNR=   Inf | time=0.0002s
[  3/ 61] SYN_2x2 checker                | k=   2 | achieved=100.00% | CR=0.1000 | PSNR=   Inf | time=0.0002s
[  4/ 61] SYN_odd uniform black          | k=     | achieved=% | CR=Inf | PSNR=   Inf | time=0.0214s
[  5/ 61] SYN_odd uniform 128            | k=   1 | achieved=100.00% | CR=42.7500 | PSNR=   Inf | time=0.0184s
[  6/ 61] SYN_half black half white      | k=   1 | achieved=100.00% | CR=42.6112 | PSNR=   Inf | time=0.0209s
[  7/ 61] SYN_1px stripes                | k=   1 | achieved=100.00% | CR=42.6112 | PSNR=   Inf | time=0.0196s
[  8/ 61] SYN_random noise               | k=  16 | achieved=80.03% | CR=1.9961 | PSNR= 11.76 | time=0.0175s
[  9/ 61] SYN_horizontal gradient        | k=   1 | achieved=100.00% | CR=31.9376 | PSNR=   Inf | time=0.0099s
[ 10/ 61] SYN_vertical gradient          | k=   1 | achieved=100.00% | CR=31.9376 | PSNR=   Inf | time=0.0096s
[ 11/ 61] FILE_Lenstarg.png              | k=   1 | achieved=86.17% | CR=414.9770 | PSNR= 11.16 | time=4.0902s
[ 12/ 61] FILE_Zoneplate.png             | k=   1 | achieved=91.97% | CR=655.7900 | PSNR= 14.25 | time=43.9727s
[ 13/ 61] FILE_BoatsColor.bmp            | k=   1 | achieved=92.53% | CR=83.0850 | PSNR= 16.87 | time=0.1124s
[ 14/ 61] FILE_Colorchecker.bmp          | k=   1 | achieved=84.10% | CR=72.2515 | PSNR= 15.14 | time=0.0891s
[ 15/ 61] FILE_Earth.bmp                 | k=   5 | achieved=81.47% | CR=18.9470 | PSNR= 17.29 | time=0.1577s
[ 16/ 61] FILE_Jupiter.bmp               | k=   1 | achieved=96.79% | CR=151.8026 | PSNR= 24.14 | time=0.4222s
[ 17/ 61] FILE_MachColor.bmp             | k=   1 | achieved=99.38% | CR=58.0939 | PSNR= 27.85 | time=0.0416s
[ 18/ 61] FILE_Malamute.bmp              | k=   1 | achieved=85.23% | CR=161.7798 | PSNR= 14.66 | time=0.4983s
[ 19/ 61] FILE_Maltese.bmp               | k=   1 | achieved=97.10% | CR=292.1104 | PSNR= 18.98 | time=3.7283s
[ 20/ 61] FILE_Mars.bmp                  | k=   1 | achieved=91.89% | CR=142.1605 | PSNR= 20.70 | time=0.4313s
[ 21/ 61] FILE_Mercury.bmp               | k=   1 | achieved=88.01% | CR=75.9457 | PSNR= 19.84 | time=0.0795s
[ 22/ 61] FILE_Neptune.bmp               | k=   1 | achieved=95.87% | CR=127.8750 | PSNR= 25.97 | time=0.3456s
[ 23/ 61] FILE_Rainier.bmp               | k=   2 | achieved=81.48% | CR=86.3712 | PSNR= 15.28 | time=0.5075s
[ 24/ 61] FILE_Saturn.bmp                | k=   2 | achieved=85.29% | CR=83.3025 | PSNR= 19.57 | time=0.5706s
[ 25/ 61] FILE_Sun.bmp                   | k=   1 | achieved=93.19% | CR=258.2467 | PSNR= 21.33 | time=2.4590s
[ 26/ 61] FILE_Sunrise.bmp               | k=   1 | achieved=94.99% | CR=489.6172 | PSNR= 17.70 | time=10.1474s
[ 27/ 61] FILE_Uranus.bmp                | k=   1 | achieved=89.94% | CR=172.7424 | PSNR= 21.73 | time=0.4932s
[ 28/ 61] FILE_Zelda.bmp                 | k=   1 | achieved=88.08% | CR=83.0850 | PSNR= 15.86 | time=0.1074s
[ 29/ 61] FILE_airplane.bmp              | k=   1 | achieved=95.00% | CR=63.9376 | PSNR= 15.79 | time=0.0788s
[ 30/ 61] FILE_airplaneU2.bmp            | k=   2 | achieved=85.08% | CR=63.9688 | PSNR= 24.05 | time=0.3662s
[ 31/ 61] FILE_blobs.bmp                 | k=  17 | achieved=80.69% | CR=1.8713 | PSNR= 34.37 | time=0.0241s
